"date","project","chain","address","type","impl_address","ProxyContractName","ProxyCompilerVersion","patches","prevVersions","in_scope"
"12/12/2023","spool","etherscan.io","0xcab95acA532aD88C68fe464bD276C5beEb6FE373","impl_proxy","0x879bf9a1bbba52dad6c0d4a804ec3bc088a51c7d","MorphoCompoundV2Strategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0x07D01228801cAc1EFEB36481370e5b532C7935a4","impl_proxy","0x879bf9a1bbba52dad6c0d4a804ec3bc088a51c7d","MorphoCompoundV2Strategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0xb7364aF55b4A0393d070AEEB2D8a6468f82e178e","impl_proxy","0x879bf9a1bbba52dad6c0d4a804ec3bc088a51c7d","MorphoCompoundV2Strategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0xfbc81d6E3E85462B56EbDaeF71fe26af77cDFfA9","impl_proxy","0x4a98b7fb6f2b4ac817d5ef8ea932ac6598c3e9d8","NotionalFinanceStrategy","v0.8.17+commit.8df45f5f",,"0","True"
"12/12/2023","spool","etherscan.io","0x107D759C58C5933320e636624f4B716d7B199E21","impl_proxy","0x4a98b7fb6f2b4ac817d5ef8ea932ac6598c3e9d8","NotionalFinanceStrategy","v0.8.17+commit.8df45f5f",,"0","True"
"12/12/2023","spool","etherscan.io","0x019834Ef2ec086e495668aa4E06B4d31119beC71","impl_proxy","0xefc54333d3fc82a7be86ecab7eab1e3834b32909","REthHoldingStrategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0x6d0e6242FE023675487BccA4Ab989a91D0932a51","impl_proxy","0xacb8e69668c5005bc14e83d2f4aac15e7186d797","SfrxEthHoldingStrategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0x504d272aC93e7ffAcAcB7DD69061c9b4D0781410","impl_proxy","0x5b163bec366c360108dfefb036e310219d67d2ee","StEthHoldingStrategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0xb8943E7eBB7B919AAFaE261343c38F02e4182CA6","impl_proxy","0x13b727abd64063629fcc1b9f8cbd6b4efc619c08","YearnV2Strategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0xc61E829DF3fbD6Cf5B2f5881F190C69eE48d20DF","impl_proxy","0x13b727abd64063629fcc1b9f8cbd6b4efc619c08","YearnV2Strategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","spool","etherscan.io","0x24416AE2794C222725185734c7050c008fC1d2f8","impl_proxy","0x13b727abd64063629fcc1b9f8cbd6b4efc619c08","YearnV2Strategy","v0.8.17+commit.8df45f5f",,"0","False"
"12/12/2023","zksyncera","etherscan.io","0x57891966931Eb4Bb6FB81430E6cE0A03AAbDe063","impl_proxy","0x3f3f3c12e11c2faa60080bd3f7f80aadf369a33","L1ERC20Bridge","v0.8.20+commit.a1b79de6",,"0","False"
"12/12/2023","aave","etherscan.io","0x464C71f6c2F760DdA6093dCB91C24c39e5d6e18c","impl_proxy","0x80f2c02224a2e548fc67c0bf705ebfa825dd5439","Collector","v0.8.17+commit.8df45f5f",,"0","True"
"12/12/2023","scroll","etherscan.io","0x0d7E906BD9cAFa154b048cFa766Cc1E54E39AF9B","impl_proxy","0xbc9d741501a20f962756c95bf906b4abffadcf8f","L1MessageQueue","v0.8.16+commit.07a7930e",,"0","False"
"12/12/2023","scroll","etherscan.io","0x987e300fDfb06093859358522a79098848C33852","impl_proxy","0xfdf1ee0098168eaa61bf87db68c39c85151a4e9e","L2GasPriceOracle","v0.8.16+commit.07a7930e",,"0","True"
"12/12/2023","scroll","etherscan.io","0xa13BAF47339d63B743e7Da8741db5456DAc1E556","impl_proxy","0x2e07f0fba71709bb5e1f045b02152e45b451d75f","ScrollChain","v0.8.16+commit.07a7930e",,"0","False"
"12/12/2023","scroll","etherscan.io","0x7F2b8C31F88B6006c382775eea88297Ec1e3E905","impl_proxy","0x1fcbe079c4bbab37406dab7dfd35acae37d5c55d","L1ETHGateway","v0.8.16+commit.07a7930e",,"0","False"
